,result_theta_l [deg],result_delta_h [m],lambda_delta,lambda_P,Pload
30,6.812049388418017,0.013683916761239368,0.9710818672333702,9936.640179841657,15117.8391959799
31,6.705086338160982,0.013734417663427645,0.9746656737742629,10266.766053954629,15620.100502512561
32,6.602852161386181,0.013782333417300396,0.9780660247521676,10596.891928067602,16122.361809045226
33,6.505018285197366,0.01382790567389236,0.981300068980697,10927.017802180575,16624.623115577888
34,6.411286504071541,0.013871348750688739,0.9843830155426994,11257.14367629355,17126.884422110554
35,6.321385526744053,0.01391285143238441,0.9873282615814932,11587.269550406521,17629.145728643216
36,6.23506798606286,0.013952583916662431,0.9901478852094161,11917.395424519495,18131.40703517588
37,6.15210783830662,0.01399069680846865,0.9928525741363236,12247.521298632466,18633.66834170854
38,6.07229809646924,0.014027325207763952,0.9954519157577374,12577.647172745441,19135.929648241206
39,5.995448846924775,0.01406258919646064,0.9979544317103829,12907.773046858412,19638.19095477387
40,5.9213855101825175,0.014096598871167876,1.0003679350219679,13237.898920971385,20140.45226130653
41,5.84994730955259,0.014129450965403412,1.0026992904057666,13568.02479508436,20642.713567839197
42,5.780985921692263,0.014161235777425674,1.0049549058955998,13898.150669197332,21144.97487437186
43,5.7143642816936335,0.01419203313942119,1.0071404467984195,14228.276543310305,21647.23618090452
44,5.649955524377218,0.014221914061695373,1.0092609523746343,14558.402417423276,22149.497487437184
45,5.587642043783489,0.014250947756662469,1.0113213342969503,14888.528291536251,22651.75879396985
46,5.527314653836584,0.014279192827989506,1.013325751386222,15218.654165649225,23154.020100502512
47,5.468871840357679,0.014306702572831509,1.0152779858856273,15548.780039762196,23656.281407035174
48,5.412219091658699,0.014333529861663696,1.017181789758928,15878.90591387517,24158.54271356784
49,5.3572682974026975,0.014359718613260464,1.01904027971066,16209.031787988144,24660.804020100502
50,5.303937209673676,0.01438530973367369,1.0208563586469088,16539.157662101115,25163.065326633165
51,5.252148957742975,0.014410346394541751,1.0226330902515552,16869.283536214087,25665.326633165827
52,5.2018316094927295,0.01443486129174032,1.0243727947939019,17199.40941032706,26167.587939698493
53,5.152917776549657,0.014458885982141956,1.026077711713669,17529.535284440033,26669.849246231155
54,5.105344256417084,0.014482451568852861,1.027750048248958,17859.661158553008,27172.110552763817
55,5.059051707839899,0.01450558322498785,1.0293915908148552,18189.78703266598,27674.37185929648
56,5.013984356946822,0.014528314861781078,1.0310047459288183,18519.912906778954,28176.633165829146
57,4.970089728276435,0.014550660422817163,1.0325905031000957,18850.038780891926,28678.894472361808
58,4.92731840232409,0.01457264817104198,1.0341508680142475,19180.164655004897,29181.15577889447
59,4.885623792242768,0.014594298844298748,1.0356873123364314,19510.290529117872,29683.417085427136
60,4.844961940843859,0.014615627437533085,1.0372009001859372,19840.416403230847,30185.6783919598
61,4.805291335114819,0.014636652321625032,1.038692935255911,20170.54227734382,30687.93969849246
62,4.766572735961745,0.014657392451144391,1.0401647626611588,20500.66815145679,31190.201005025123
63,4.728769022030975,0.014677861248490132,1.0416173349248856,20830.794025569765,31692.46231155779
64,4.691845046627351,0.014698072424356723,1.0430516250292443,21160.919899682736,32194.72361809045
65,4.655767506092162,0.014718043800210023,1.044468897678094,21491.04577379571,32696.984924623113
66,4.620504818331029,0.014737785733269448,1.0458698878735655,21821.171647908683,33199.246231155776
67,4.586027011164335,0.014757300917606742,1.047254786800994,22151.297522021658,33701.50753768844
68,4.552305619845356,0.014776614299235824,1.0486253647592059,22481.423396134633,34203.76884422111
69,4.519313590963065,0.014795723488543189,1.0499814521688045,22811.5492702476,34706.030150753766
70,4.487025195512615,0.014814658081067855,1.0513251492830866,23141.675144360575,35208.29145728643
71,4.455415946222275,0.014833403661147715,1.0526554330917317,23471.801018473547,35710.55276381909
72,4.424462523393231,0.014851981677805437,1.0539738257288878,23801.92689258652,36212.81407035176
73,4.394142704013574,0.014870388621131325,1.0552800781131169,24132.052766699497,36715.07537688442
74,4.36443529758435,0.01488865204698342,1.0565761457513507,24462.178640812464,37217.33668341708
75,4.3353200848923725,0.01490676120168799,1.0578612655070003,24792.30451492544,37719.59798994975
76,4.306777762676573,0.01492472857328253,1.0591363235961233,25122.430389038414,38221.85929648241
77,4.278789891077395,0.014942565873686031,1.0604021511573736,25452.556263151386,38724.12060301507
78,4.251338844851488,0.014960270426300215,1.061658558245424,25782.68213726436,39226.38190954774
79,4.22440776818803,0.014977842614723569,1.0629055720824172,26112.808011377332,39728.6432160804
80,4.197980532471774,0.014995300666414746,1.0641444861835718,26442.933885490304,40230.90452261306
81,4.172041696501764,0.015012656805349245,1.0653761680257336,26773.05975960328,40733.16582914573
82,4.146576469329376,0.015029888801729507,1.06659904006691,27103.185633716254,41235.427135678394
83,4.121570676370539,0.015047030816081164,1.067815526515578,27433.311507829225,41737.68844221105
84,4.0970107261728135,0.015064060009779223,1.069024006624185,27763.437381942196,42239.94974874372
85,4.072883580947745,0.015081020189912198,1.0702275891714563,28093.563256055168,42742.21105527638
86,4.049176727103258,0.015097865407033506,1.0714230133458016,28423.689130168143,43244.47236180904
87,4.025878149541313,0.01511461229683242,1.0726114597022092,28753.815004281118,43746.73366834171
88,4.002976306283016,0.015131298683393024,1.073795612434309,29083.940878394085,44248.99497487437
89,3.9804601044033916,0.015147881717204048,1.0749724307180344,29414.06675250706,44751.25628140703
